nome,link,pdf_link
ADI 3315,https://jurisprudencia.stf.jus.br/pages/search/sjur90454/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3315&classe=ADI
ADI 2748,https://jurisprudencia.stf.jus.br/pages/search/sjur14349/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2748&classe=ADI
ADI 1975,https://jurisprudencia.stf.jus.br/pages/search/sjur398772/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749225906
ADI 5029,https://jurisprudencia.stf.jus.br/pages/search/sjur423021/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752545390
ADI 2741,https://jurisprudencia.stf.jus.br/pages/search/sjur96772/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2741&classe=ADI
ADI 6072,https://jurisprudencia.stf.jus.br/pages/search/sjur410746/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833039
ADI 4243,https://jurisprudencia.stf.jus.br/pages/search/sjur399149/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749288160
ADI 2777,https://jurisprudencia.stf.jus.br/pages/search/sjur370240/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13120781
ADI 4615,https://jurisprudencia.stf.jus.br/pages/search/sjur414015/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751257523
ADI 5542,https://jurisprudencia.stf.jus.br/pages/search/sjur418032/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751842712
ADI 5402,https://jurisprudencia.stf.jus.br/pages/search/sjur410738/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833030
ADI 1629,https://jurisprudencia.stf.jus.br/pages/search/sjur410195/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750737176
ADI 282,https://jurisprudencia.stf.jus.br/pages/search/sjur415846/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751490297
ADI 3135,https://jurisprudencia.stf.jus.br/pages/search/sjur91736/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3135&classe=ADI
ADI 1460,https://jurisprudencia.stf.jus.br/pages/search/sjur110006/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1460&classe=ADI
ADI 3576,https://jurisprudencia.stf.jus.br/pages/search/sjur7260/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3576&classe=ADI
ADI 1147,https://jurisprudencia.stf.jus.br/pages/search/sjur410194/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750753078
ADI 5213,https://jurisprudencia.stf.jus.br/pages/search/sjur387038/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=15078139
ADI 2904,https://jurisprudencia.stf.jus.br/pages/search/sjur166564/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2904&classe=ADI
ADI 3227,https://jurisprudencia.stf.jus.br/pages/search/sjur7887/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3227&classe=ADI
ADI 3306,https://jurisprudencia.stf.jus.br/pages/search/sjur193311/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3306&classe=ADI
ADI 5075,https://jurisprudencia.stf.jus.br/pages/search/sjur318421/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9328352
ADI 5107,https://jurisprudencia.stf.jus.br/pages/search/sjur387444/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747632197
ADI 2177,https://jurisprudencia.stf.jus.br/pages/search/sjur413242/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751181465
ADI 2763,https://jurisprudencia.stf.jus.br/pages/search/sjur11345/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2763&classe=ADI
ADI 3615,https://jurisprudencia.stf.jus.br/pages/search/sjur6830/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3615&classe=ADI
ADI 4060,https://jurisprudencia.stf.jus.br/pages/search/sjur302585/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8340395
ADI 959,https://jurisprudencia.stf.jus.br/pages/search/sjur426457/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752973148
ADI 5472,https://jurisprudencia.stf.jus.br/pages/search/sjur388761/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=747927920
ADI 5018,https://jurisprudencia.stf.jus.br/pages/search/sjur390489/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748170284
