nome,link,pdf_link
ADI 4950,https://jurisprudencia.stf.jus.br/pages/search/sjur283854/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7182138
ADI 5409 MC-Ref,https://jurisprudencia.stf.jus.br/pages/search/sjur348077/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10947570
ADI 3506 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur93267/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3506&classe=ADI-AgR
ADI 2840,https://jurisprudencia.stf.jus.br/pages/search/sjur96303/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2840&classe=ADI
ADI 2464,https://jurisprudencia.stf.jus.br/pages/search/sjur91068/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2464&classe=ADI
ADI 2921,https://jurisprudencia.stf.jus.br/pages/search/sjur382349/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14537345
ADI 4643 MC,https://jurisprudencia.stf.jus.br/pages/search/sjur286359/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7342646
ADI 5287,https://jurisprudencia.stf.jus.br/pages/search/sjur355952/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=11638659
ADI 4174,https://jurisprudencia.stf.jus.br/pages/search/sjur413243/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751181466
ADI 3838 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur374461/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13687294
ADI 3196 MC,https://jurisprudencia.stf.jus.br/pages/search/sjur95081/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3196&classe=ADI-MC
ADI 1601,https://jurisprudencia.stf.jus.br/pages/search/sjur411874/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750995571
ADI 4418,https://jurisprudencia.stf.jus.br/pages/search/sjur363834/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=12592854
ADI 5419 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur401206/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749507327
ADI 3777,https://jurisprudencia.stf.jus.br/pages/search/sjur291440/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7695038
ADI 3345,https://jurisprudencia.stf.jus.br/pages/search/sjur181020/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3345&classe=ADI
ADI 4474 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur379705/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14276267
ADI 4647,https://jurisprudencia.stf.jus.br/pages/search/sjur387041/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=15079433
ADI 429,https://jurisprudencia.stf.jus.br/pages/search/sjur282452/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7065854
ADI 3029,https://jurisprudencia.stf.jus.br/pages/search/sjur422076/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752454018
ADI 3936,https://jurisprudencia.stf.jus.br/pages/search/sjur414532/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751331204
ADI 2675,https://jurisprudencia.stf.jus.br/pages/search/sjur370239/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13120658
